Name,Price
Prada Brique leather bag,"£ 2,100"
Saffiano leather Prada Brique bag,"£ 1,900"
Prada Brique brushed leather bag,"£ 2,200"
Brushed leather shoulder bag,"£ 1,850"
Brushed leather shoulder bag,"£ 1,850"
Re-Nylon and leather shoulder bag,"£ 1,200"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
Saffiano leather belt bag,"£ 1,580"
Saffiano leather belt bag,"£ 1,580"
Leather backpack,"£ 2,400"
Leather backpack,"£ 2,400"
