Name,Price
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Saffiano leather Tote,"£ 2,600"
Saffiano leather Tote,"£ 2,600"
Leather tote,"£ 1,980"
Leather tote,"£ 1,980"
Padded Re-Nylon tote bag,"£ 1,750"
Re-Nylon and Leather tote,"£ 1,500"
Saffiano Leather Tote,"£ 2,200"
Saffiano Leather Prada Galleria bag,"£ 3,200"
Saffiano Leather Prada Galleria bag,"£ 3,200"
Prada Galleria Saffiano bag,"£ 3,600"
Saffiano Leather Prada Galleria bag,"£ 3,950"
Saffiano Leather Prada Galleria bag,"£ 3,950"
Saffiano Leather Prada Galleria bag,"£ 3,950"
