Name,Price
Eternal Gold large pendant necklace in yellow gold,"£ 45,000"
Eternal Gold pendant necklace in yellow gold,"£ 4,550"
Eternal Gold chain necklace in yellow gold,"£ 29,000"
Eternal Gold signet ring in yellow gold with diamonds,"£ 5,600"
Eternal Gold bracelet in yellow gold,"£ 15,000"
Eternal Gold ring in yellow gold,"£ 3,500"
Eternal Gold necklace in yellow gold,"£ 40,000"
Eternal Gold bracelet in yellow gold,"£ 12,000"
Eternal Gold signet ring in yellow gold,"£ 3,500"
Eternal Gold bangle bracelet in yellow gold with ceramic elements,"£ 7,900"
Eternal Gold pendant necklace in yellow gold,"£ 4,550"
Eternal Gold small pendant necklace in yellow gold,"£ 6,500"
Eternal Gold pendant necklace in yellow gold with diamonds and onyx,"£ 7,500"
