Name,Price
Prada Symbole ring,£ 580
Prada Symbole single pendant earring,£ 350
Crystal Logo Jewels brooch,£ 680
Crystal Logo Jewels bracelet,"£ 2,300"
Left earring with Robot Jewels pendant,£ 520
Left earring with Robot Jewels pendant,£ 520
Robot Jewels earring,£ 520
Single earring with Robot Jewels pendant,£ 520
Swiss Blue Topaz logo ring,"£ 1,450"
Prada Symbole pendant necklace,£ 920
Silver cufflinks with hard stone,"£ 1,550"
Chain Jewels bracelet,£ 780
Chain Jewels necklace,"£ 1,500"
Prada Symbole pendant earring,£ 420
Prada Symbole pendant earring,£ 420
Prada Symbole ring,£ 620
Prada Symbole pendant necklace,£ 720
Prada Symbole bracelet,£ 890
Prada Symbole brooch,£ 490
Chain Jewels bracelet,£ 820
Chain Jewels necklace,"£ 1,700"
Prada Symbole single earring,£ 350
Prada Symbole single earring,£ 350
925 sterling silver cufflinks,£ 420
