Name,Price
Prada Brique leather bag,"£ 2,100"
Re-Nylon and leather shoulder bag,"£ 1,200"
Brushed leather briefcase,"£ 2,500"
Prada Brique leather bag,"£ 2,100"
Prada Brique brushed leather bag,"£ 2,200"
Brushed leather shoulder bag,"£ 1,850"
Brushed leather shoulder bag,"£ 1,850"
Saffiano Leather Pouch,"£ 1,550"
Saffiano leather Prada Brique bag,"£ 1,900"
Prada Brique Saffiano leather bag,"£ 2,100"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric tote bag,"£ 2,700"
Prada Symbole embroidered fabric travel bag,"£ 3,200"
Prada Symbole embroidered fabric travel bag,"£ 3,400"
Prada Symbole embroidered fabric trolley,"£ 4,300"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Leather Prada Triangle bag,"£ 2,200"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
Prada Cross leather bag,"£ 1,500"
