Name,Price
Extreme-Tex ski jacket,"£ 3,950"
Extreme-Tex snowboard pants,"£ 1,950"
Prada Linea Rossa Impavid sunglasses,£ 310
Prada Linea Rossa snowboard,"£ 2,700"
Light Nylon technical pants,"£ 1,050"
"GORE-TEX, leather and knit ski gloves",£ 540
Prada Polarius sneakers,£ 830
Fleece blouson jacket,"£ 1,350"
"GORE-TEX, leather and knit ski gloves",£ 670
Prada America’s Cup Original sneakers,£ 670
Light technical fabric down vest,"£ 2,400"
Prada Linea Rossa Impavid sunglasses,£ 370
Nylon knit socks,£ 235
Prada Polarius sneakers,£ 830
Medium-weight light technical fabric down jacket,"£ 2,700"
Windproof knit gloves,£ 360
Prada Linea Rossa Impavid sunglasses,£ 350
Prada Polarius high-top sneakers,£ 920
Recycled fleece technical jacket,"£ 1,480"
Recycled double jersey pants,"£ 1,050"
