Name,Price
Wool cardigan,"£ 1,100"
Silk cardigan,"£ 1,790"
Cashmere crew-neck sweater,"£ 1,690"
Superfine wool cardigan,"£ 2,900"
Superfine wool pants,"£ 2,800"
Cashmere and lamé crew-neck sweater,"£ 1,450"
Cashmere and lamé vest,"£ 1,300"
Cashmere and lamé polo shirt,"£ 1,450"
Mohair crew-neck sweater,"£ 1,100"
Jacquard superfine wool turtleneck sweater,"£ 1,100"
Wool and cashmere jacquard crew-neck sweater,"£ 1,450"
Oversized ribbed knit silk top,"£ 1,690"
Wool and cashmere sweater,"£ 1,300"
Mohair crew-neck sweater,"£ 1,100"
Wool and cashmere crew-neck sweater,"£ 1,590"
Cashgora cardigan,"£ 1,850"
Cable knit cashmere sweater,"£ 1,990"
Worsted-wool cardigan,"£ 1,100"
Cashgora cardigan,"£ 1,850"
Cashgora cardigan,"£ 1,850"
Cashmere V-neck sweater,"£ 2,300"
Cashmere and Re-Nylon hoodie jacket,"£ 1,950"
Wool and Re-Nylon sweater,"£ 1,850"
Silk polo shirt,"£ 1,150"
