Name,Price
Wool pants,"£ 1,300"
Wool pants,"£ 1,200"
Wool pants,"£ 1,450"
Silk pants,"£ 1,300"
Silk pants,"£ 1,450"
Re-Nylon pants,"£ 1,300"
Five-pocket denim jeans,£ 990
Wool and mohair pants,"£ 1,690"
Cotton Bermudas,£ 880
Wool blend pants,£ 980
Wool joggers,£ 980
Wool joggers,£ 980
Wool pants,£ 980
Wool and mohair pants,"£ 1,390"
Slim-fit washed cotton trousers,£ 720
Wool joggers,£ 980
Re-Nylon Bermudas,"£ 1,100"
Five-pocket velvet denim trousers,"£ 1,050"
Velvet pants,"£ 1,650"
Wool gabardine pants,"£ 1,150"
Corduroy overalls,"£ 1,500"
Corduroy pants,£ 950
Re-nylon pants,£ 900
Stretch technical fabric pants,£ 950
