Name,Price
Brushed leather hair clasp with stick,£ 350
Metal hair clip,£ 370
Metal hair clip,£ 420
Metal hair clips,£ 450
Embellished brass hair clip,£ 550
Brass hair clip with crystals,£ 450
Satin headband,£ 780
Metal hair clip,£ 420
Embellished brass headband,£ 750
Embellished brass headband,£ 750
Metal hair clip,£ 390
Metal hair clip,£ 390
Brushed leather hair clasp with stick,£ 350
Brass hair clip with crystals,£ 450
Satin headband,£ 780
Embellished satin headband,£ 780
Satin scrunchie,£ 680
Brass hair clip,£ 620
Leather hair clip,£ 350
Metal hair clips,£ 420
Metal Hair Clip,£ 340
Re-Nylon headband,£ 390
Re-Nylon headband,£ 370
Re-Nylon scrunchie,£ 290
