Name,Price
Saffiano leather mini-bag,"£ 1,680"
Saffiano leather mini-bag,"£ 1,680"
Prada Triangle Saffiano leather shoulder bag,"£ 1,950"
Prada Re-Edition 2005 Saffiano leather bag,"£ 1,850"
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Prada Panier Saffiano leather mini-bag,"£ 2,200"
Small Saffiano Leather Prada Panier Bag,"£ 2,500"
Small Saffiano Leather Prada Panier Bag,"£ 2,500"
Medium Saffiano Leather Prada Panier Bag,"£ 2,700"
Prada Cleo brushed leather shoulder bag,"£ 2,200"
Prada Cleo brushed leather shoulder bag,"£ 1,850"
Prada Cleo brushed leather shoulder bag with flap,"£ 2,200"
Prada Cleo brushed leather mini bag,"£ 1,950"
Prada Re-Edition 1995 brushed-leather medium handbag,"£ 2,600"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Studded leather mini-bag,"£ 1,900"
Studded nappa leather mini-bag,"£ 2,400"
Saffiano leather mini pouch,£ 950
Studded leather mini pouch,"£ 1,400"
