Name,Price
Shearling mini-bag,"£ 2,900"
Shearling mini-bag,"£ 2,100"
Shearling mini-bag,"£ 2,900"
Shearling mini-bag,"£ 2,100"
Shearling mini-bag,"£ 2,100"
Shearling and Saffiano leather mini-pouch,"£ 1,100"
Shearling mini-bag,"£ 2,100"
Shearling mini-bag,"£ 2,100"
Saffiano leather mini bag,"£ 1,700"
Saffiano leather mini-bag,"£ 1,680"
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Studded nappa leather mini-bag,"£ 2,400"
Studded leather mini-bag,"£ 1,900"
Saffiano leather mini pouch,£ 950
Studded leather mini pouch,"£ 1,400"
Satin mini-bag with crystals,"£ 1,900"
Satin mini-bag with crystals,"£ 1,900"
Prada Triangle satin mini-bag with crystals,"£ 2,300"
Prada Triangle satin mini-bag with crystals,"£ 2,300"
Satin mini-bag with crystals,"£ 2,500"
Satin mini-bag with crystals,"£ 2,500"
Embellished satin and leather mini-pouch,"£ 1,400"
Prada Galleria embroidered fabric mini bag,"£ 2,500"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
