Name,Price
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Prada Panier Saffiano leather mini-bag,"£ 2,200"
Small Saffiano Leather Prada Panier Bag,"£ 2,500"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Prada Re-Edition 1995 brushed-leather medium handbag,"£ 2,600"
Prada Re-Edition 1995 brushed-leather medium handbag,"£ 2,600"
Prada Galleria shearling mini-bag,"£ 2,800"
Prada Galleria shearling mini-bag,"£ 2,800"
Prada Panier shearling mini-bag,"£ 2,500"
Prada Panier shearling mini-bag,"£ 2,500"
Prada Galleria satin mini-bag with crystals,"£ 3,800"
Prada Galleria satin mini-bag with crystals,"£ 3,800"
Small satin tote bag with crystals,"£ 2,700"
Prada Panier satin bag with crystals,"£ 3,400"
Large Prada Symbole embroidered fabric handbag,"£ 2,500"
Small Prada Symbole embroidered fabric handbag,"£ 2,300"
Medium Prada Galleria embroidered fabric bag,"£ 3,300"
Prada Symbole embroidered fabric mini bag,"£ 1,800"
Prada Symbole embroidered fabric top-handle bag,"£ 1,950"
Small embroidered fabric Prada Symbole bag,"£ 2,200"
Prada Galleria embroidered fabric mini bag,"£ 2,500"
Large Prada Galleria Saffiano leather bag,"£ 3,200"
