Name,Price
Prada Cleo satin bag with crystals,"£ 3,000"
Prada Cleo satin bag with crystals,"£ 3,000"
Prada Cleo brushed leather shoulder bag with flap,"£ 2,200"
Prada Cleo brushed leather shoulder bag with flap,"£ 2,200"
Prada Cleo brushed leather mini bag,"£ 1,950"
Prada Cleo brushed leather mini bag,"£ 1,950"
Prada Cleo brushed leather mini bag,"£ 1,950"
Prada Cleo brushed leather mini bag,"£ 1,950"
Prada Cleo brushed leather shoulder bag,"£ 1,850"
Prada Cleo brushed leather shoulder bag,"£ 2,200"
Prada Cleo brushed leather shoulder bag,"£ 2,200"
Prada Cleo brushed leather shoulder bag,"£ 2,200"
Prada Cleo brushed leather shoulder bag with flap,"£ 2,800"
Prada Cleo brushed leather shoulder bag,"£ 2,600"
