Name,Price
Large Prada Symbole embroidered fabric handbag,"£ 2,500"
Small Prada Symbole embroidered fabric handbag,"£ 2,300"
Prada Symbole embroidered fabric mini bag,"£ 1,800"
embroidered fabric mini-bag,"£ 1,800"
embroidered fabric mini-bag,"£ 1,800"
Prada Symbole leather and fabric mini bag,"£ 2,400"
Small embroidered fabric Prada Symbole bag,"£ 2,200"
Medium Prada Galleria embroidered fabric bag,"£ 3,300"
Prada Galleria embroidered fabric mini bag,"£ 2,500"
Prada Symbole embroidered fabric top-handle bag,"£ 1,950"
Large Prada Symbole embroidered fabric handbag,"£ 2,500"
Large Prada Symbole embroidered fabric handbag,"£ 2,500"
Small Prada Symbole embroidered fabric handbag,"£ 2,300"
Small Prada Symbole embroidered fabric handbag,"£ 2,300"
Prada Symbole embroidered fabric mini bag,"£ 1,800"
Prada Symbole embroidered fabric mini bag,"£ 1,800"
