Name,Price
Double-breasted leather coat,"£ 6,400"
Ribbed knit jersey tank top,£ 690
Prada Symbole leather and fabric mini bag,"£ 2,400"
Embroidered mesh and leather midi-skirt,"£ 2,500"
Double-breasted leather jacket,"£ 7,000"
Cashmere and wool turtleneck sweater,"£ 1,200"
Embroidered cloth and tulle midi-skirt,"£ 1,990"
Small brushed leather Prada Supernova handbag,"£ 2,700"
Cashmere and wool turtleneck sweater,"£ 1,550"
Large leather Prada Supernova handbag,"£ 3,200"
Embroidered cloth and mesh midi-skirt,"£ 3,200"
Brushed leather pumps,"£ 1,020"
Single-breasted cloth jacket,"£ 3,200"
Cloth midi-skirt,"£ 2,300"
Small brushed leather Prada Supernova handbag,"£ 2,700"
Embroidered mesh dress,"£ 3,750"
