Name,Price
Embroidered rhinestone mesh dress,"£ 5,200"
Metallic leather ballerinas,£ 870
Prada Cleo satin bag with crystals,"£ 3,000"
Cardholder with shoulder strap and crystals,"£ 1,100"
Embroidered lace and poplin mini-dress,"£ 2,500"
Saffiano leather mini bag,"£ 1,700"
Metallic leather loafers,£ 980
Metal hair clips,£ 450
Shearling bucket hat,£ 950
Shearling cover for iPhone 13 Pro Max,£ 320
Prada Galleria shearling mini-bag,"£ 2,800"
Wool and cashmere twinset,"£ 2,150"
