Name,Price
Embroidered lace and poplin mini-dress,"£ 2,500"
Saffiano leather mini bag,"£ 1,700"
Metallic leather loafers,£ 980
Metal hair clips,£ 450
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Brushed leather belt,£ 450
Cady and embroidered mesh mini-dress,"£ 2,300"
Kid mohair jacket,"£ 2,800"
Kid mohair and satin miniskirt,"£ 1,150"
Saffiano leather and metal bracelet,£ 360
Brushed leather card holder with shoulder strap,£ 950
Cady mini-dress with necklace,"£ 2,300"
Prada Cleo brushed leather shoulder bag,"£ 2,200"
Brushed leather pumps,£ 890
Cady midi dress with lace inserts,"£ 2,400"
Brushed leather hair clasp with stick,£ 350
