Name,Price
Embroidered rhinestone mesh dress,"£ 5,200"
Metallic leather ballerinas,£ 870
Prada Cleo satin bag with crystals,"£ 3,000"
Cardholder with shoulder strap and crystals,"£ 1,100"
Satin bucket hat with crystals,"£ 1,600"
Metallic leather sandals,"£ 1,000"
Embroidered rhinestone mesh bra top,"£ 1,500"
Embroidered rhinestone mesh midi-skirt,"£ 4,700"
Satin jewelry beauty case with crystals,"£ 1,400"
Satin sandals with crystals,"£ 1,380"
Satin mini-bag with crystals,"£ 1,900"
Duchesse baseball cap with crystals,"£ 1,400"
Prada Symbole sunglasses,£ 470
Metallic leather platform sandals,"£ 1,040"
Lamé turtleneck sweater,"£ 1,200"
Lamé leggings,"£ 1,300"
