Name,Price
Kid mohair and satin miniskirt,"£ 1,150"
Prada Galleria satin mini-bag with crystals,"£ 3,800"
Metallic leather pumps,"£ 1,000"
Prada Symbole sunglasses,£ 470
Quilted nappa leather shoulder bag,"£ 3,000"
Prada Galleria shearling mini-bag,"£ 2,800"
Shearling newsboy cap,£ 880
Wool and cashmere twinset,"£ 2,150"
Prada Symbole sunglasses,£ 450
Nappa leather ballerinas,£ 720
Cashmere and wool sweater,£ 980
Cashmere wool top,£ 980
Metallic leather platform sandals,"£ 1,040"
Prada Cleo brushed leather shoulder bag,"£ 1,850"
Patent leather ballerinas,£ 830
Shearling mini-bag,"£ 2,100"
