Name,Price
Eternal Gold choker with medium pendant in yellow gold,"£ 8,000"
Eternal Gold choker with large pendant in yellow gold,"£ 10,500"
Eternal Gold large pendant necklace in yellow gold,"£ 45,000"
Eternal Gold medium drop earrings in yellow gold,"£ 13,000"
Eternal Gold medium pendant necklace in yellow gold,"£ 9,000"
Eternal Gold medium drop earrings in yellow gold,"£ 9,000"
Eternal Gold small pendant necklace in yellow gold,"£ 6,500"
Eternal Gold small drop earrings in yellow gold,"£ 7,000"
Eternal Gold large pendant necklace in yellow gold,"£ 45,000"
Eternal Gold ring in yellow gold,"£ 5,000"
Eternal Gold choker with large pendant in yellow gold,"£ 18,000"
Eternal Gold bracelet in yellow gold,"£ 15,000"
Eternal Gold multi-coil bracelet in yellow gold,"£ 55,000"
Eternal Gold ring in yellow gold,"£ 3,500"
