Name,Price
Crystal Logo Jewels zirconia earrings,"£ 1,100"
Crystal Logo Jewels zirconia earrings,£ 680
Crystal Logo Jewels zirconia earrings,"£ 1,100"
Crystal Logo Jewels zirconia earrings,£ 680
Crystal Logo Jewels left earring,£ 680
Crystal Logo Jewels right earring,£ 680
Crystal Logo Jewels left earring,£ 680
Crystal Logo Jewels right earring,£ 680
Crystal Logo Jewels left earring,£ 580
Crystal Logo Jewels right earring,£ 580
Prada Symbole earrings,£ 480
Ball Smalto Jewels pendant earrings,"£ 1,100"
Ball Smalto Jewels open necklace,"£ 2,500"
Prada Symbole clip left earring,£ 340
Prada Symbole clip right earring,£ 340
Prada Symbole ring,£ 480
Prada Symbole earrings,£ 650
Stone Jewels earring - left ear,£ 550
Stone Jewels earring - right ear,£ 550
Stone Jewels pendant earring - left ear,£ 620
Single Stone Jewels pendent earring - right ear,£ 620
Prada Symbole pendant left earring,£ 480
Prada Symbole pendant right earring,£ 480
Prada Symbole necklace,£ 720
