Name,Price
Satin bucket hat with crystals,"£ 1,600"
Printed twill scarf,£ 390
Brushed leather card holder with shoulder strap,£ 950
Studded brushed leather bracelet,£ 420
Shearling bucket hat,£ 950
Brass hair clip with crystals,£ 450
Embellished brass headband,£ 750
Saffiano leather card holder,£ 420
Saffiano leather badge holder,£ 440
Metal hair clips,£ 450
Shearling newsboy cap,£ 880
iPhone 13 Pro case,£ 390
Duchesse baseball cap with crystals,"£ 1,400"
Saffiano leather robot keychain trick,£ 390
Satin headband,£ 780
Crystal Logo Jewels zirconia earrings,£ 680
Cardholder with shoulder strap and crystals,"£ 1,100"
Brushed leather hair clasp with stick,£ 350
Saffiano leather card holder,£ 320
Brushed leather belt,£ 450
Brushed leather badge holder,£ 660
Saffiano leather and metal bracelet,£ 360
Crystal Logo Jewels zirconia earrings,"£ 1,100"
Embellished brass headband,£ 750
