Name,Price
Shearling mini-bag,"£ 2,100"
Shearling mini-bag,"£ 2,900"
Prada Galleria shearling mini-bag,"£ 2,800"
Prada Galleria shearling mini-bag,"£ 2,800"
Prada Panier shearling mini-bag,"£ 2,500"
Shearling mini-bag,"£ 2,100"
Shearling and Saffiano leather mini-pouch,"£ 1,100"
Shearling and Saffiano leather mini-pouch,"£ 1,100"
Prada Galleria Saffiano leather mini-bag,"£ 2,400"
Prada Triangle Saffiano leather shoulder bag,"£ 1,950"
Prada Panier Saffiano leather mini-bag,"£ 2,200"
Saffiano leather mini bag,"£ 1,700"
Prada Cleo brushed leather shoulder bag,"£ 1,850"
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Quilted nappa leather shoulder bag,"£ 3,000"
Quilted nappa leather shoulder bag,"£ 3,500"
Prada Re-Edition 2005 satin bag with crystals,"£ 2,500"
Prada Re-Edition 2005 satin bag with crystals,"£ 2,500"
Satin mini-bag with crystals,"£ 1,900"
Satin mini-bag with crystals,"£ 1,900"
Prada Panier satin bag with crystals,"£ 3,400"
Prada Panier satin bag with crystals,"£ 3,400"
Prada Triangle satin mini-bag with crystals,"£ 2,300"
Prada Triangle satin mini-bag with crystals,"£ 2,300"
