Name,Price
Prada Symbole sunglasses,£ 470
Cashmere and wool sweater,£ 980
Metallic leather slingback pumps,"£ 1,000"
Brushed leather badge holder,£ 660
Prada Re-Edition 1995 brushed-leather mini handbag,"£ 2,200"
Wool and cashmere cardigan with rhinestones,"£ 1,900"
Re-Nylon down coat,"£ 2,900"
Prada Moon Re-Nylon and leather bag,"£ 1,800"
Cotton fleece mini-dress,"£ 1,200"
Wool and cashmere twinset,"£ 2,150"
Shearling newsboy cap,£ 880
Embroidered lace and poplin mini-dress,"£ 2,500"
Paradoxe EDP 90 ml,£ 118
Mesh top with embroidered pearls,"£ 4,500"
Cashmere and silk top,"£ 1,100"
Mesh midi skirt with embroidered pearls,"£ 5,200"
Saffiano leather card holder,£ 320
Nappa leather ballerinas,£ 720
Re-Nylon down jacket,"£ 2,400"
Quilted nappa leather shoulder bag,"£ 3,000"
Light Re-Nylon blouson jacket,"£ 2,800"
Kid mohair pants,"£ 1,350"
Lamé turtleneck sweater,"£ 1,200"
Lamé leggings,"£ 1,300"
