Name,Price
Long turtleneck lamé dress,"£ 2,700"
Fringed knit dress,"£ 1,650"
Embroidered rhinestone mesh dress,"£ 5,200"
Embroidered rhinestone mesh dress,"£ 5,200"
Technical voile sunray pleat midi-dress,"£ 4,200"
Viscose boat neck dress,"£ 1,600"
Stretch jersey dress,"£ 1,950"
Long cady dress,"£ 2,500"
Stretch jersey dress,"£ 1,400"
Stretch jersey dress,"£ 1,750"
Cady mini-dress with necklace,"£ 2,300"
Embroidered cady mini-dress,"£ 2,300"
Embroidered lace and poplin mini-dress,"£ 2,500"
Cady and embroidered mesh mini-dress,"£ 2,300"
Cady midi dress with lace inserts,"£ 2,400"
Long cady dress,"£ 2,500"
Embroidered rhinestone mesh mini-dress,"£ 6,200"
Studded tulle top,"£ 2,800"
Rhinestone-embellished mesh mini-dress,"£ 5,400"
Chainmail maxi-sequin dress,"£ 13,500"
Cady dress with necklace,"£ 3,700"
Cady dress with feathers,"£ 3,100"
Embroidered mesh dress,"£ 3,750"
Embroidered mesh dress,"£ 3,200"
