Name,Price
Cashmere and wool sweater,£ 980
Cashmere wool top,£ 980
Wool and cashmere twinset,"£ 2,150"
Jacquard crepe de chine midi skirt,"£ 2,550"
Kidassia caban jacket,"£ 7,800"
Lamé crew-neck sweater,£ 850
Ribbed knit jersey dress,£ 790
Shearling stole,"£ 5,900"
Wool and cashmere crew-neck sweater with rhinestones,"£ 1,950"
Pleated leather skirt,"£ 2,850"
Wool and cashmere crew-neck sweater with rhinestones,"£ 1,950"
Silk cardigan,"£ 1,650"
Viscose turtleneck with crystals,"£ 1,300"
Shearling caban jacket,"£ 5,400"
Re-Nylon down jacket,"£ 2,400"
Viscose mini-dress,"£ 1,400"
"Single-breasted, wool-gabardine jacket","£ 2,950"
Jersey top,£ 590
Wool and cashmere V-neck sweater,"£ 1,100"
Mesh top with embroidered pearls,"£ 4,500"
