Name,Price
Mesh pants with embroidered rhinestones,"£ 4,400"
Stretch jersey pants,£ 920
Kid mohair pants,"£ 1,200"
Gabardine Bermuda shorts,£ 990
Gabardine pants,"£ 1,100"
Batavia shorts,£ 900
Gabardine pants,£ 980
Silk gabardine pants,"£ 1,350"
Batavia pants,"£ 1,100"
Kid mohair pants,"£ 1,300"
Batavia shorts,£ 900
Re-Nylon shorts,£ 890
Re-Nylon joggers,"£ 1,100"
Light mohair shorts,£ 860
Drill pants,"£ 1,150"
Jacquard crêpe-de-Chine shorts,£ 800
Twill pants,"£ 1,300"
Kid mohair pants,"£ 1,200"
Technical silk joggers,"£ 1,350"
Technical silk pants,"£ 1,690"
Silk shorts,£ 650
Re-Nylon shorts,£ 860
Re-Nylon pants,"£ 1,100"
Technical silk boxer shorts,£ 820
